release_date,sentiment_label,sentiment_score,fuente,Sentiment_Value,Evento
2000-02-02,negative,0.4313,FOMC real,,
2000-03-10,negative,0.7,Histórico artificial,-0.7,Pinchazo burbuja punto-com
2000-03-21,neutral,0.3599,FOMC real,,
2000-03-23,neutral,0.3668,FOMC real,,
2000-05-16,neutral,0.3501,FOMC real,,
2000-05-18,neutral,0.3548,FOMC real,,
2000-06-28,negative,0.4357,FOMC real,,
2000-06-29,neutral,0.3599,FOMC real,,
2000-08-22,negative,0.4657,FOMC real,,
2000-08-24,neutral,0.3515,FOMC real,,
2000-10-03,negative,0.4273,FOMC real,,
2000-10-05,neutral,0.3606,FOMC real,,
2000-11-15,negative,0.3984,FOMC real,,
2000-11-16,neutral,0.3496,FOMC real,,
2000-12-19,neutral,0.4078,FOMC real,,
2000-12-21,neutral,0.3564,FOMC real,,
2001-01-03,neutral,0.4452,FOMC real,,
2001-01-31,neutral,0.4556,FOMC real,,
2001-02-01,neutral,0.3552,FOMC real,,
2001-03-20,neutral,0.4283,FOMC real,,
2001-03-22,neutral,0.3569,FOMC real,,
2001-04-18,positive,0.3783,FOMC real,,
2001-05-15,positive,0.3423,FOMC real,,
2001-05-17,neutral,0.3622,FOMC real,,
2001-06-27,neutral,0.4458,FOMC real,,
2001-06-28,neutral,0.3571,FOMC real,,
2001-08-21,neutral,0.3872,FOMC real,,
2001-08-23,neutral,0.3611,FOMC real,,
2001-09-11,negative,1.0,Histórico artificial,-1.0,Atentados del 11-S
2001-09-17,neutral,0.426,FOMC real,,
2001-10-02,neutral,0.4058,FOMC real,,
2001-10-04,neutral,0.3644,FOMC real,,
2001-11-06,neutral,0.3784,FOMC real,,
2001-11-08,neutral,0.3631,FOMC real,,
2001-12-11,neutral,0.3823,FOMC real,,
2001-12-13,neutral,0.3594,FOMC real,,
2002-01-30,negative,0.4198,FOMC real,,
2002-01-31,neutral,0.366,FOMC real,,
2002-03-19,negative,0.4647,FOMC real,,
2002-03-21,neutral,0.3644,FOMC real,,
2002-05-07,negative,0.391,FOMC real,,
2002-05-09,neutral,0.3692,FOMC real,,
2002-06-26,positive,0.4466,FOMC real,,
2002-06-27,neutral,0.3691,FOMC real,,
2002-08-13,positive,0.4188,FOMC real,,
2002-08-15,neutral,0.3623,FOMC real,,
2002-09-24,negative,0.4885,FOMC real,,
2002-09-26,neutral,0.3706,FOMC real,,
2002-11-06,negative,0.3438,FOMC real,,
